--------- beginning of main
05-18 06:15:47.983  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module goa is unavailable
05-18 06:15:47.983  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module gsz is unavailable
05-18 06:15:47.983  7281  7281 I HardKeyTracker: HardKeyTracker.unregisterKeySequence():182 Unregister key sequence lxp{labelResId=2132020218, callback=cct@307fbd2, lastModifier=65536, keyCodes=[76], actions=[0]}
05-18 06:15:47.984  7281  7281 I HardKeyTracker: HardKeyTracker.unregisterKeySequence():182 Unregister key sequence lxp{labelResId=2132020217, callback=cct@6a1fb88, lastModifier=2, keyCodes=[37], actions=[0]}
05-18 06:15:47.984  7281  7281 I HardKeyTracker: HardKeyTracker.unregisterKeySequence():182 Unregister key sequence lxp{labelResId=2132018698, callback=cct@ed6226e, lastModifier=2, keyCodes=[39], actions=[0]}
05-18 06:15:47.984  7281  7281 I HardKeyTracker: HardKeyTracker.unregisterKeySequence():182 Unregister key sequence lxp{labelResId=2132020219, callback=cct@9ef69cc, lastModifier=2, keyCodes=[48], actions=[0]}
05-18 06:15:47.984  7281  7281 I HardKeyTracker: HardKeyTracker.unregisterKeySequence():182 Unregister key sequence lxp{labelResId=2132020214, callback=cct@e216b59, lastModifier=2, keyCodes=[50], actions=[0]}
05-18 06:15:47.985  7281  7281 W NotificationCenter: NotificationCenter.unregisterListener():480 Listener imp@cb2860d was not registered for notification class ioo
05-18 06:15:47.985  7281  7281 W NotificationCenter: NotificationCenter.unregisterListener():480 Listener imo@7e939c2 was not registered for notification class ioq
05-18 06:15:47.985  7281  7281 I HardKeyTracker: HardKeyTracker.unregisterKeySequence():182 Unregister key sequence lxp{labelResId=2132020223, callback=ffo@a1bff0d, lastModifier=2, keyCodes=[62], actions=[0]}
05-18 06:15:47.990  7281  7281 I HardKeyTracker: HardKeyTracker.unregisterKeySequence():182 Unregister key sequence lxp{labelResId=2132020221, callback=null, lastModifier=2, keyCodes=[8], actions=[0]}
05-18 06:15:47.992  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module imu is unavailable
05-18 06:15:47.992  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module lwz is unavailable
05-18 06:15:47.992  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module lxa is unavailable
05-18 06:15:47.994  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module mdq is unavailable
05-18 06:15:47.994  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module gnz is unavailable
05-18 06:15:48.002  7281  7281 I EmojifyExtensionImpl: EmojifyExtensionImpl.onDestroy():605 Destroying Emojify extension ecq@aabbe56.
05-18 06:15:48.003  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module ecc is unavailable
05-18 06:15:48.003  7281  7281 I AbstractOpenableExtension: AbstractOpenableExtension.maybeDestroyExistingKeyboardGroupManager():537 Destroy existing keyboard group manager in edp
05-18 06:15:48.003  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module IExpressionMomentExtension is unavailable
05-18 06:15:48.003  7281  7281 I AbstractOpenableExtension: AbstractOpenableExtension.maybeDestroyExistingKeyboardGroupManager():537 Destroy existing keyboard group manager in fyk
05-18 06:15:48.003  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module FastAccessBarExtension is unavailable
05-18 06:15:48.003  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module IBitmojiExtension is unavailable
05-18 06:15:48.007  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module ehc is unavailable
05-18 06:15:48.007   407   407 E adbd    : failed to connect to socket 'tcp:7336': Connection refused
05-18 06:15:48.009  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module dnu is unavailable
05-18 06:15:48.009  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module gjt is unavailable
05-18 06:15:48.011  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module ftv is unavailable
05-18 06:15:48.011  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module IUniversalMediaExtension is unavailable
05-18 06:15:48.013  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module dzn is unavailable
05-18 06:15:48.013  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module ebf is unavailable
05-18 06:15:48.013  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module epr is unavailable
05-18 06:15:48.014  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module etx is unavailable
05-18 06:15:48.014  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module evr is unavailable
05-18 06:15:48.014  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module fck is unavailable
05-18 06:15:48.014  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module fdz is unavailable
05-18 06:15:48.014  7281  7420 I InputActionMetricsProcessor: InputActionMetricsProcessor.onDetached():107 Detached from metrics manager.
05-18 06:15:48.014  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module ffc is unavailable
05-18 06:15:48.014  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module fgw is unavailable
05-18 06:15:48.014  7281  7281 I JapaneseMozcExtension: JapaneseMozcExtension.onDestroy():52 
05-18 06:15:48.014  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module fhj is unavailable
05-18 06:15:48.014  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module fpf is unavailable
05-18 06:15:48.015  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module fsu is unavailable
05-18 06:15:48.015  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module IEmojiOrGifExtension is unavailable
05-18 06:15:48.015  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module IEmoticonExtension is unavailable
05-18 06:15:48.015  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module fxh is unavailable
05-18 06:15:48.015  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module gam is unavailable
05-18 06:15:48.015  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module gts is unavailable
05-18 06:15:48.015  7281  7281 I UniversalDictationExtension: UniversalDictationExtension.onDestroyExtension():92 onDestroy [UD]
05-18 06:15:48.015  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module gtu is unavailable
05-18 06:15:48.016  7281  7281 I OnDevicePackDownloadModule: OnDevicePackDownloadModule.onDestroy():95 onDestroy()
05-18 06:15:48.016  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module gyt is unavailable
05-18 06:15:48.016  7281  7281 I NewS3RecognizerModule: NewS3RecognizerModule.onDestroy():21 onDestroy [news3]
05-18 06:15:48.016  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module hau is unavailable
05-18 06:15:48.016  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module imw is unavailable
05-18 06:15:48.017  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module ipd is unavailable
05-18 06:15:48.017  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module jsl is unavailable
05-18 06:15:48.017  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module IBannerExtension is unavailable
05-18 06:15:48.017  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module mkd is unavailable
05-18 06:15:48.017  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module mng is unavailable
05-18 06:15:48.017  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module moa is unavailable
05-18 06:15:48.017  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module gtf is unavailable
05-18 06:15:48.018  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module gtk is unavailable
